Barcode,difference_label
s_008um_00166_00737-1,False Positive
s_008um_00166_00738-1,False Positive
s_008um_00166_00739-1,False Positive
s_008um_00167_00297-1,False Positive
s_008um_00167_00567-1,False Positive
s_008um_00167_00612-1,False Positive
s_008um_00167_00626-1,False Positive
s_008um_00167_00734-1,False Positive
s_008um_00167_00735-1,False Positive
s_008um_00167_00736-1,False Positive
s_008um_00167_00737-1,False Positive
s_008um_00167_00738-1,False Positive
s_008um_00167_00739-1,False Positive
s_008um_00167_00740-1,False Positive
s_008um_00167_00741-1,False Positive
s_008um_00168_00297-1,False Positive
s_008um_00168_00567-1,False Positive
s_008um_00168_00612-1,False Positive
s_008um_00168_00613-1,False Positive
s_008um_00168_00614-1,False Positive
s_008um_00168_00625-1,False Positive
s_008um_00168_00626-1,False Positive
s_008um_00168_00671-1,False Positive
s_008um_00168_00697-1,False Positive
s_008um_00168_00698-1,False Positive
s_008um_00168_00734-1,False Positive
s_008um_00168_00735-1,False Positive
s_008um_00168_00736-1,False Positive
s_008um_00168_00737-1,False Positive
s_008um_00168_00738-1,False Positive
s_008um_00168_00739-1,False Positive
s_008um_00168_00740-1,False Positive
s_008um_00168_00741-1,False Positive
s_008um_00169_00297-1,False Positive
s_008um_00169_00338-1,False Positive
s_008um_00169_00567-1,False Positive
s_008um_00169_00568-1,False Positive
s_008um_00169_00612-1,False Positive
s_008um_00169_00613-1,False Positive
s_008um_00169_00614-1,False Positive
s_008um_00169_00615-1,False Positive
s_008um_00169_00616-1,False Positive
s_008um_00169_00671-1,False Positive
s_008um_00169_00697-1,False Positive
s_008um_00169_00698-1,False Positive
s_008um_00169_00699-1,False Positive
s_008um_00169_00700-1,False Positive
s_008um_00169_00734-1,False Positive
s_008um_00169_00735-1,False Positive
s_008um_00169_00736-1,False Positive
s_008um_00169_00737-1,False Positive
s_008um_00169_00738-1,False Positive
s_008um_00169_00739-1,False Positive
s_008um_00169_00740-1,False Positive
s_008um_00169_00741-1,False Positive
s_008um_00169_00742-1,False Positive
s_008um_00170_00282-1,False Positive
s_008um_00170_00283-1,False Positive
s_008um_00170_00297-1,False Positive
s_008um_00170_00337-1,False Positive
s_008um_00170_00338-1,False Positive
s_008um_00170_00494-1,False Positive
s_008um_00170_00495-1,False Positive
s_008um_00170_00498-1,False Positive
s_008um_00170_00567-1,False Positive
s_008um_00170_00568-1,False Positive
s_008um_00170_00589-1,False Positive
s_008um_00170_00590-1,False Positive
s_008um_00170_00591-1,False Positive
s_008um_00170_00592-1,False Positive
s_008um_00170_00593-1,False Positive
s_008um_00170_00613-1,False Positive
s_008um_00170_00614-1,False Positive
s_008um_00170_00615-1,False Positive
s_008um_00170_00616-1,False Positive
s_008um_00170_00617-1,False Positive
s_008um_00170_00618-1,False Positive
s_008um_00170_00672-1,False Positive
s_008um_00170_00734-1,False Positive
s_008um_00170_00735-1,False Positive
s_008um_00170_00736-1,False Positive
s_008um_00170_00737-1,False Positive
s_008um_00170_00738-1,False Positive
s_008um_00170_00739-1,False Positive
s_008um_00170_00740-1,False Positive
s_008um_00170_00741-1,False Positive
s_008um_00171_00281-1,False Positive
s_008um_00171_00297-1,False Positive
s_008um_00171_00337-1,False Positive
s_008um_00171_00338-1,False Positive
s_008um_00171_00494-1,False Positive
s_008um_00171_00568-1,False Positive
s_008um_00171_00569-1,False Positive
s_008um_00171_00570-1,False Positive
s_008um_00171_00589-1,False Positive
s_008um_00171_00590-1,False Positive
s_008um_00171_00591-1,False Positive
s_008um_00171_00592-1,False Positive
s_008um_00171_00593-1,False Positive
s_008um_00171_00614-1,False Positive
s_008um_00171_00615-1,False Positive
s_008um_00171_00616-1,False Positive
s_008um_00171_00617-1,False Positive
s_008um_00171_00734-1,False Positive
s_008um_00171_00735-1,False Positive
s_008um_00171_00736-1,False Positive
s_008um_00171_00737-1,False Positive
s_008um_00171_00738-1,False Positive
s_008um_00171_00739-1,False Positive
s_008um_00171_00740-1,False Positive
s_008um_00171_00741-1,False Positive
s_008um_00172_00297-1,False Positive
s_008um_00172_00298-1,False Positive
s_008um_00172_00330-1,False Positive
s_008um_00172_00333-1,False Positive
s_008um_00172_00334-1,False Positive
s_008um_00172_00337-1,False Positive
s_008um_00172_00338-1,False Positive
s_008um_00172_00493-1,False Positive
s_008um_00172_00589-1,False Positive
s_008um_00172_00590-1,False Positive
s_008um_00172_00591-1,False Positive
s_008um_00172_00592-1,False Positive
s_008um_00172_00593-1,False Positive
s_008um_00172_00629-1,False Positive
s_008um_00172_00684-1,False Positive
s_008um_00172_00734-1,False Positive
s_008um_00172_00735-1,False Positive
s_008um_00172_00736-1,False Positive
s_008um_00172_00737-1,False Positive
s_008um_00172_00738-1,False Positive
s_008um_00172_00739-1,False Positive
s_008um_00172_00740-1,False Positive
s_008um_00172_00741-1,False Positive
s_008um_00173_00329-1,False Positive
s_008um_00173_00335-1,False Positive
s_008um_00173_00337-1,False Positive
s_008um_00173_00338-1,False Positive
s_008um_00173_00493-1,False Positive
s_008um_00173_00590-1,False Positive
s_008um_00173_00591-1,False Positive
s_008um_00173_00592-1,False Positive
s_008um_00173_00630-1,False Positive
s_008um_00173_00735-1,False Positive
s_008um_00173_00736-1,False Positive
s_008um_00173_00737-1,False Positive
s_008um_00173_00738-1,False Positive
s_008um_00173_00739-1,False Positive
s_008um_00173_00740-1,False Positive
s_008um_00174_00287-1,False Positive
s_008um_00174_00335-1,False Positive
s_008um_00174_00337-1,False Positive
s_008um_00174_00338-1,False Positive
s_008um_00174_00494-1,False Positive
s_008um_00174_00584-1,False Positive
s_008um_00174_00585-1,False Positive
s_008um_00174_00586-1,False Positive
s_008um_00174_00629-1,False Positive
s_008um_00175_00287-1,False Positive
s_008um_00175_00335-1,False Positive
s_008um_00175_00583-1,False Positive
s_008um_00175_00584-1,False Positive
s_008um_00175_00585-1,False Positive
s_008um_00175_00586-1,False Positive
s_008um_00175_00587-1,False Positive
s_008um_00175_00629-1,False Positive
s_008um_00175_00684-1,False Positive
s_008um_00176_00287-1,False Positive
s_008um_00176_00335-1,False Positive
s_008um_00176_00582-1,False Positive
s_008um_00176_00583-1,False Positive
s_008um_00176_00682-1,False Positive
s_008um_00176_00683-1,False Positive
s_008um_00177_00287-1,False Positive
s_008um_00177_00582-1,False Positive
s_008um_00177_00583-1,False Positive
s_008um_00178_00463-1,False Positive
s_008um_00178_00583-1,False Positive
s_008um_00179_00583-1,False Positive
s_008um_00179_00584-1,False Positive
s_008um_00179_00606-1,False Positive
s_008um_00179_00663-1,False Positive
s_008um_00179_00695-1,False Positive
s_008um_00179_00696-1,False Positive
s_008um_00179_00697-1,False Positive
s_008um_00179_00698-1,False Positive
s_008um_00180_00584-1,False Positive
s_008um_00180_00585-1,False Positive
s_008um_00180_00586-1,False Positive
s_008um_00180_00606-1,False Positive
s_008um_00180_00607-1,False Positive
s_008um_00180_00694-1,False Positive
s_008um_00180_00695-1,False Positive
s_008um_00180_00696-1,False Positive
s_008um_00180_00697-1,False Positive
s_008um_00180_00698-1,False Positive
s_008um_00181_00607-1,False Positive
s_008um_00181_00608-1,False Positive
s_008um_00181_00609-1,False Positive
s_008um_00181_00610-1,False Positive
s_008um_00181_00611-1,False Positive
s_008um_00181_00694-1,False Positive
s_008um_00181_00695-1,False Positive
s_008um_00181_00696-1,False Positive
s_008um_00181_00697-1,False Positive
s_008um_00181_00698-1,False Positive
s_008um_00182_00266-1,False Positive
s_008um_00182_00292-1,False Positive
s_008um_00182_00293-1,False Positive
s_008um_00182_00426-1,False Positive
s_008um_00182_00427-1,False Positive
s_008um_00182_00428-1,False Positive
s_008um_00182_00429-1,False Positive
s_008um_00183_00261-1,False Positive
s_008um_00183_00267-1,False Positive
s_008um_00183_00290-1,False Positive
s_008um_00183_00291-1,False Positive
s_008um_00183_00292-1,False Positive
s_008um_00183_00293-1,False Positive
s_008um_00183_00294-1,False Positive
s_008um_00183_00295-1,False Positive
s_008um_00183_00396-1,False Positive
s_008um_00183_00425-1,False Positive
s_008um_00183_00426-1,False Positive
s_008um_00183_00427-1,False Positive
s_008um_00183_00428-1,False Positive
s_008um_00183_00429-1,False Positive
s_008um_00183_00430-1,False Positive
s_008um_00184_00261-1,False Positive
s_008um_00184_00267-1,False Positive
s_008um_00184_00268-1,False Positive
s_008um_00184_00290-1,False Positive
s_008um_00184_00291-1,False Positive
s_008um_00184_00292-1,False Positive
s_008um_00184_00293-1,False Positive
s_008um_00184_00294-1,False Positive
s_008um_00184_00295-1,False Positive
s_008um_00184_00396-1,False Positive
s_008um_00184_00425-1,False Positive
s_008um_00184_00426-1,False Positive
s_008um_00184_00427-1,False Positive
s_008um_00184_00428-1,False Positive
s_008um_00184_00429-1,False Positive
s_008um_00184_00430-1,False Positive
s_008um_00184_00580-1,False Positive
s_008um_00185_00261-1,False Positive
s_008um_00185_00267-1,False Positive
s_008um_00185_00290-1,False Positive
s_008um_00185_00291-1,False Positive
s_008um_00185_00292-1,False Positive
s_008um_00185_00293-1,False Positive
s_008um_00185_00294-1,False Positive
s_008um_00185_00295-1,False Positive
s_008um_00185_00395-1,False Positive
s_008um_00185_00425-1,False Positive
s_008um_00185_00426-1,False Positive
s_008um_00185_00427-1,False Positive
s_008um_00185_00428-1,False Positive
