Barcode,Difference
s_008um_00378_00223-1,0
s_008um_00172_00709-1,0
s_008um_00180_00682-1,0
s_008um_00427_00756-1,0
s_008um_00305_00120-1,0
s_008um_00162_00683-1,0
s_008um_00494_00535-1,0
s_008um_00359_00068-1,0
s_008um_00503_00218-1,0
s_008um_00410_00151-1,0
s_008um_00576_00705-1,0
s_008um_00333_00477-1,0
s_008um_00493_00355-1,0
s_008um_00465_00496-1,0
s_008um_00257_00478-1,0
s_008um_00146_00593-1,0
s_008um_00333_00228-1,0
s_008um_00381_00638-1,0
s_008um_00173_00496-1,0
s_008um_00448_00250-1,0
s_008um_00321_00550-1,0
s_008um_00309_00565-1,0
s_008um_00288_00663-1,0
s_008um_00379_00448-1,0
s_008um_00393_00647-1,0
s_008um_00374_00821-1,0
s_008um_00254_00501-1,0
s_008um_00322_00726-1,0
s_008um_00394_00480-1,0
s_008um_00305_00812-1,0
s_008um_00230_00168-1,0
s_008um_00600_00641-1,0
s_008um_00232_00446-1,0
s_008um_00094_00505-1,0
s_008um_00379_00373-1,0
s_008um_00575_00609-1,0
s_008um_00450_00394-1,0
s_008um_00295_00192-1,0
s_008um_00634_00542-1,0
s_008um_00505_00392-1,0
s_008um_00525_00382-1,0
s_008um_00581_00420-1,0
s_008um_00171_00323-1,0
s_008um_00516_00332-1,0
s_008um_00314_00805-1,0
s_008um_00249_00695-1,0
s_008um_00570_00644-1,0
s_008um_00385_00253-1,0
s_008um_00253_00262-1,0
s_008um_00307_00524-1,0
s_008um_00480_00309-1,0
s_008um_00258_00276-1,0
s_008um_00388_00773-1,0
s_008um_00533_00654-1,0
s_008um_00538_00508-1,0
s_008um_00223_00147-1,0
s_008um_00306_00381-1,0
s_008um_00388_00776-1,0
s_008um_00277_00504-1,0
s_008um_00542_00467-1,0
s_008um_00516_00211-1,0
s_008um_00319_00604-1,0
s_008um_00593_00631-1,0
s_008um_00146_00578-1,0
s_008um_00165_00685-1,0
s_008um_00359_00763-1,0
s_008um_00249_00621-1,0
s_008um_00445_00727-1,0
s_008um_00091_00382-1,0
s_008um_00139_00503-1,0
s_008um_00254_00331-1,0
s_008um_00373_00752-1,0
s_008um_00548_00703-1,0
s_008um_00153_00378-1,0
s_008um_00432_00090-1,0
s_008um_00137_00497-1,0
s_008um_00430_00163-1,0
s_008um_00572_00629-1,0
s_008um_00533_00619-1,0
s_008um_00364_00437-1,0
s_008um_00231_00244-1,0
s_008um_00295_00518-1,0
s_008um_00523_00562-1,0
s_008um_00114_00573-1,0
s_008um_00090_00293-1,0
s_008um_00448_00827-1,0
s_008um_00276_00534-1,0
s_008um_00142_00405-1,0
s_008um_00343_00303-1,0
s_008um_00526_00631-1,0
s_008um_00071_00448-1,0
s_008um_00488_00411-1,0
s_008um_00151_00630-1,0
s_008um_00464_00175-1,0
s_008um_00318_00735-1,0
s_008um_00279_00529-1,0
s_008um_00452_00582-1,0
s_008um_00146_00339-1,0
s_008um_00651_00616-1,0
s_008um_00616_00614-1,0
s_008um_00320_00752-1,0
s_008um_00440_00605-1,0
s_008um_00113_00583-1,0
s_008um_00052_00551-1,0
s_008um_00549_00333-1,0
s_008um_00484_00147-1,0
s_008um_00491_00556-1,0
s_008um_00219_00136-1,0
s_008um_00559_00310-1,0
s_008um_00077_00558-1,0
s_008um_00254_00780-1,0
s_008um_00213_00340-1,0
s_008um_00563_00484-1,0
s_008um_00302_00357-1,0
s_008um_00516_00260-1,0
s_008um_00392_00091-1,0
s_008um_00079_00441-1,0
s_008um_00189_00553-1,0
s_008um_00360_00685-1,0
s_008um_00447_00585-1,0
s_008um_00478_00541-1,0
s_008um_00488_00358-1,0
s_008um_00324_00557-1,0
s_008um_00481_00336-1,0
s_008um_00507_00260-1,0
s_008um_00364_00579-1,0
s_008um_00349_00721-1,0
s_008um_00399_00508-1,0
s_008um_00139_00552-1,0
s_008um_00484_00347-1,0
s_008um_00244_00550-1,0
s_008um_00252_00745-1,0
s_008um_00256_00406-1,0
s_008um_00159_00292-1,0
s_008um_00426_00601-1,0
s_008um_00475_00260-1,0
s_008um_00411_00354-1,0
s_008um_00480_00491-1,0
s_008um_00557_00746-1,0
s_008um_00129_00422-1,0
s_008um_00475_00774-1,0
s_008um_00432_00715-1,0
s_008um_00289_00751-1,0
s_008um_00572_00523-1,0
s_008um_00309_00641-1,0
s_008um_00140_00371-1,0
s_008um_00498_00411-1,0
s_008um_00336_00396-1,0
s_008um_00426_00754-1,0
s_008um_00484_00442-1,0
s_008um_00162_00575-1,0
s_008um_00552_00766-1,0
s_008um_00398_00617-1,0
s_008um_00465_00516-1,0
s_008um_00431_00538-1,0
s_008um_00374_00822-1,0
s_008um_00411_00483-1,0
s_008um_00128_00281-1,0
s_008um_00419_00320-1,0
s_008um_00411_00456-1,0
s_008um_00278_00131-1,0
s_008um_00340_00195-1,0
s_008um_00394_00305-1,0
s_008um_00536_00234-1,0
s_008um_00097_00425-1,0
s_008um_00185_00603-1,0
s_008um_00276_00304-1,0
s_008um_00312_00508-1,0
s_008um_00399_00116-1,0
s_008um_00789_00166-1,0
s_008um_00078_00516-1,0
s_008um_00124_00324-1,0
s_008um_00492_00550-1,0
s_008um_00425_00489-1,0
s_008um_00563_00253-1,0
s_008um_00335_00615-1,0
s_008um_00392_00720-1,0
s_008um_00254_00648-1,0
s_008um_00437_00140-1,0
s_008um_00275_00304-1,0
s_008um_00454_00175-1,0
s_008um_00165_00349-1,0
s_008um_00183_00254-1,0
s_008um_00433_00267-1,0
s_008um_00152_00588-1,0
s_008um_00480_00676-1,0
s_008um_00262_00256-1,0
s_008um_00176_00332-1,0
s_008um_00433_00759-1,0
s_008um_00217_00793-1,0
s_008um_00528_00298-1,0
s_008um_00349_00342-1,0
s_008um_00095_00592-1,0
s_008um_00349_00549-1,0
s_008um_00600_00422-1,0
s_008um_00078_00570-1,0
s_008um_00308_00457-1,0
s_008um_00243_00272-1,0
s_008um_00440_00709-1,0
s_008um_00410_00605-1,0
s_008um_00116_00390-1,0
s_008um_00244_00420-1,0
s_008um_00160_00507-1,0
s_008um_00528_00281-1,0
s_008um_00433_00152-1,0
s_008um_00409_00290-1,0
s_008um_00398_00268-1,0
s_008um_00197_00287-1,0
s_008um_00502_00693-1,0
s_008um_00468_00622-1,0
s_008um_00136_00222-1,0
s_008um_00115_00346-1,0
s_008um_00175_00723-1,0
s_008um_00431_00253-1,0
s_008um_00306_00208-1,0
s_008um_00238_00756-1,0
s_008um_00277_00679-1,0
s_008um_00256_00594-1,0
s_008um_00316_00824-1,0
s_008um_00358_00272-1,0
s_008um_00223_00569-1,0
s_008um_00191_00747-1,0
s_008um_00361_00103-1,0
s_008um_00511_00792-1,0
s_008um_00122_00574-1,0
s_008um_00262_00293-1,0
s_008um_00149_00696-1,0
s_008um_00428_00235-1,0
s_008um_00318_00411-1,0
s_008um_00264_00666-1,0
s_008um_00460_00786-1,0
s_008um_00073_00503-1,0
s_008um_00275_00352-1,0
s_008um_00387_00506-1,0
s_008um_00231_00337-1,0
s_008um_00583_00528-1,0
s_008um_00281_00220-1,0
s_008um_00173_00699-1,0
s_008um_00184_00484-1,0
s_008um_00232_00534-1,0
s_008um_00369_00560-1,0
s_008um_00464_00572-1,0
s_008um_00560_00596-1,0
s_008um_00340_00327-1,0
s_008um_00244_00702-1,0
s_008um_00225_00269-1,0
s_008um_00389_00139-1,0
s_008um_00380_00080-1,0
s_008um_00428_00629-1,0
s_008um_00811_00455-1,0
s_008um_00460_00549-1,0
s_008um_00364_00629-1,0
s_008um_00311_00768-1,0
s_008um_00532_00291-1,0
s_008um_00088_00441-1,0
s_008um_00263_00631-1,0
s_008um_00198_00496-1,0
s_008um_00595_00675-1,0
s_008um_00333_00291-1,0
